Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth
aardvark,105-130,40-65,grey,20-30,insectivore,"savannas, grasslands","lions, hyenas",40,africa,least concern,orycteropodidae,210-240,40,solitary,1
aardwolf,40-50,8-14,yellow-brown,10-12,insectivore,"grasslands, savannas","lions, leopards",24-30,eastern and southern africa,least concern,hyaenidae,90,40,solitary,2-5
african elephant,270-310,2700-6000,grey,60-70,herbivore,"savannah, forest","lions, hyenas",25,africa,vulnerable,elephantidae,640-660,40,herd-based,1
african lion,80-110,120-250,tan,10-14,carnivore,"grasslands, savannas","hyenas, crocodiles",58,africa,vulnerable,felidae,98-105,80,group-based,2-4 (usually)
african wild dog,75-80,18-36,multicolored,10-12,carnivore,savannahs,"lions, hyenas",56,sub-saharan africa,endangered,canidae,70,56,group-based,10-12
alpine ibex,67-101,19-120,brown,15-20,herbivore,"mountains, alpine","wolves, golden eagles",56-64,european alps,least concern,bovidae,150,56-64,group-based,1
amazon rainforest frog,2-13,up to 0.5,various,4-17,insectivore,amazon rainforest,"birds, snakes",0.1-1,amazon rainforest,not evaluated,dendrobatidae,10-15,0.8,solitary,up to 40
american bison,152-186,"318-1,000",brown,15-20,herbivore,"grasslands, plains","wolves, grizzly bears",40-56,north america,near threatened,bovidae,270-290,56,group-based,1
anteater,52-91,22-41,"brown, white",15-20,insectivore,"grasslands, forests","jaguars, pumas",24,central and south america,least concern,myrmecophagidae,190-210,24,solitary,1
arabian horse,140-160,380-1000,various,25-30,herbivore,"middle east, north africa","humans, predators",65,"middle east, north africa",not applicable,equidae,330-342,65,herd-based,1
arabian oryx,70-90,65-90,white,10-20,herbivore,desert,"lions, leopards",55,middle east,vulnerable,bovidae,210-240,55,herd-based,1
arctic fox,25-30,2.5-9,white,3-6,omnivore,tundra,polar bears,60,arctic regions,least concern,canidae,52-60,60,solitary,4-11
arowana,up to 120,up to 6.7,"silver, gold, green",10-20,"carnivore, piscivore","freshwater rivers, lakes","birds, larger fish",16-32,"south america, asia",not evaluated,osteoglossidae,not applicable,32,solitary,not applicable
asian elephant,200-300,2000-5000,grey,60-80,herbivore,"grasslands, forests","tigers, leopards",40,asia (southeast),endangered,elephantidae,640-660,40,herd-based,1
